ID,Sex,BirthYear
Uts_11A_01,2,2005
Uts_11A_02,2,2005
Uts_11A_03,2,2005
Uts_11A_04,2,2005
Uts_11A_05,2,2005
Uts_11A_06,2,2005
Uts_11A_07,2,2005
Uts_11A_08,2,2005
Uts_11A_09,2,2005
Uts_11A_10,2,2005
Uts_11A_11,2,2005
Uts_11A_12,2,2005
Uts_11A_13,2,2005
Uts_11A_14,2,2005
Uts_11A_15,2,2005
Uts_11A_16,2,2005
Uts_11A_17,2,2005
Uts_11A_18,2,2005
Uts_11A_19,2,2005
Uts_11A_20,2,2005
Uts_11A_21,2,2005
Uts_11A_22,1,2005
Uts_11A_23,2,2005
Uts_11A_24,2,2005
Uts_11A_25,2,2005
Uts_11A_26,2,2005
Uts_11A_27,2,2005
Uts_11A_28,1,2005
Uts_11A_29,1,2005
Uts_11A_30,2,2005
Uts_11A_31,2,2005
Uts_11A_32,2,2005
Uts_11A_33,2,2005
Uts_11A_34,2,2005
Uts_11A_35,2,2005
Uts_11A_36,2,2005
Uts_11A_37,1,2005
Uts_11A_38,2,2005
Uts_11A_39,1,2005
Uts_11A_40,2,2005
Uts_11A_41,2,2005
Uts_11A_42,2,2005
Uts_11A_43,2,2005
Uts_11A_44,2,2005
Uts_11A_45,2,2005
Uts_11A_46,2,2005
Uts_11A_47,2,2005
Uts_11A_48,2,2005
Uts_11A_49,2,2005
Uts_11A_50,2,2005
Uts_11A_51,2,2005
Uts_11A_52,1,2005
Uts_11A_53,1,2005
Uts_11A_54,2,2005
Uts_12A_001,2,2005
Uts_12A_002,2,2006
Uts_12A_003,1,2006
Uts_12A_004,1,2005
Uts_12A_005,2,2006
Uts_12A_006,2,2007
Uts_12A_007,2,2005
Uts_12A_008,2,2008
Uts_12A_009,2,2007
Uts_12A_010,2,2006
Uts_12A_011,2,2006
Uts_12A_012,2,2007
Uts_12A_013,2,2006
Uts_12A_014,2,2007
Uts_12A_015,2,2007
Uts_12A_016,2,2007
Uts_12A_017,2,2006
Uts_12A_018,1,2004
Uts_12A_019,1,2007
Uts_12A_020,2,2007
Uts_12A_021,1,2007
Uts_12A_022,2,2006
Uts_12A_023,2,2008
Uts_12A_024,2,2006
Uts_12A_025,2,2006
Uts_12A_026,2,2007
