ID,year,date,date.fix,tag.ID,wt.kg,length.cm,sex,notes.fi,notes.en,notes.KM,dead,recapture,match.ID,Scale.smoltage,scale.seaage,Respawner,respawner.info,notes.FI,notes.ENG
Uts_11A_01,2011,9/20/2011,9/20/2011,F814,2.5,64,M,,,,NA,NA,,4,1,0,,,
Uts_11A_02,2011,9/20/2011,9/20/2011,F815,2.4,65,M,,,,NA,NA,,NA,1,0,,,
Uts_11A_03,2011,9/20/2011,9/20/2011,F816,3.5,75,M,,,,NA,NA,,4,2,0,,,
Uts_11A_04,2011,9/20/2011,9/20/2011,F817,7.3,90,M,,,,NA,NA,,4,2,0,,,
Uts_11A_05,2011,9/21/2011,9/21/2011,F818,1.4,54,M,,,,NA,NA,,3,1,0,,,
Uts_11A_06,2011,9/21/2011,9/21/2011,F819,7.2,89,M,,,,NA,NA,,4,2,0,,,
Uts_11A_07,2011,9/21/2011,9/21/2011,F820,11,107,M,,,,NA,NA,,NA,3,0,,,
Uts_11A_08,2011,9/22/2011,9/22/2011,F821,1.65,59,M,,,,NA,NA,,4,1,0,,,
Uts_11A_09,2011,9/22/2011,9/22/2011,F822,2.6,66,M,,,,NA,NA,,4,1,0,,,
Uts_11A_10,2011,9/22/2011,9/22/2011,F823,1.85,60,M,,,,NA,NA,,4,1,0,,,
Uts_11A_11,2011,9/22/2011,9/22/2011,F824,2,62,M,,,,NA,NA,,3,1,0,,,
Uts_11A_12,2011,9/22/2011,9/22/2011,F825,2.4,64,M,,,,NA,NA,,4,1,0,,,
Uts_11A_13,2011,9/23/2011,9/23/2011,F826,2.2,65,M,,,,NA,NA,,3,1,0,,,
Uts_11A_14,2011,9/23/2011,9/23/2011,F827,5.5,85,M,,,,NA,NA,,3,2,0,,,
Uts_11A_15,2011,9/23/2011,9/23/2011,F828,2.4,64,M,,,,NA,NA,,4,1,0,,,
Uts_11A_16,2011,9/23/2011,9/23/2011,F829,3.1,70,M,,,,NA,NA,,3,2,0,,,
Uts_11A_17,2011,9/23/2011,9/23/2011,F830,8.8,97,M,,,,NA,NA,,3,3,0,,,
Uts_11A_18,2011,9/26/2011,9/26/2011,F831,2.5,64,M,,,,NA,NA,,4,1,0,,,
Uts_11A_19,2011,9/26/2011,9/26/2011,F832,2.7,67,M,,,,NA,NA,,4,1,0,,,
Uts_11A_20,2011,9/26/2011,9/26/2011,F833,2.7,67,M,,,,NA,NA,,3,1,0,,,
Uts_11A_21,2011,9/27/2011,9/27/2011,F834,2.1,62,M,,,,NA,NA,,3,1,0,,,
Uts_11A_22,2011,9/27/2011,9/27/2011,F835,5.7,83,F,,,,NA,NA,,3,2,0,,,
Uts_11A_23,2011,9/28/2011,9/28/2011,F836,1.7,59,M,,,,NA,NA,,3,1,0,,,
Uts_11A_24,2011,9/28/2011,9/28/2011,F837,2.4,65,M,,,,NA,NA,,4,1,0,,,
Uts_11A_25,2011,9/28/2011,9/28/2011,F838,2,61,M,,,,NA,NA,,4,1,0,,,
Uts_11A_26,2011,9/28/2011,9/28/2011,F839,2.9,70,M,,,,NA,NA,,4,1,0,,,
Uts_11A_27,2011,9/28/2011,9/28/2011,F840,2.5,66,M,,,,NA,NA,,3,1,0,,,
Uts_11A_28,2011,9/28/2011,9/28/2011,F841,11.9,99,F,,,,NA,NA,,4,3,0,,,
Uts_11A_29,2011,9/28/2011,9/28/2011,F842,10.3,100,F,,,,NA,NA,,3,3,0,,,
Uts_11A_30,2011,9/28/2011,9/28/2011,F843,1.5,56,M,,,,NA,NA,,3,1,0,,,
Uts_11A_31,2011,9/28/2011,9/28/2011,F844,2,62,M,,,,NA,NA,,4,1,0,,,
Uts_11A_32,2011,9/28/2011,9/28/2011,F845,2.2,64,M,,,,NA,NA,,3,1,0,,,
Uts_11A_33,2011,9/28/2011,9/28/2011,F846,2,60,M,,,,NA,NA,,4,1,0,,,
Uts_11A_34,2011,9/28/2011,9/28/2011,F847,1.9,59,M,,,,NA,NA,,4,1,0,,,
Uts_11A_35,2011,9/29/2011,9/29/2011,F848,2.3,66,M,,,,NA,NA,,4,1,0,,,
Uts_11A_36,2011,9/29/2011,9/29/2011,F849,12.6,116,M,,,,NA,NA,,NA,3,0,,,
Uts_11A_37,2011,9/29/2011,9/29/2011,F850,13.5,114,F,,,,NA,NA,,3,5,1,3S1,,
Uts_11A_38,2011,9/30/2011,9/30/2011,F851,2.3,62,M,,,,NA,NA,,4,1,0,,,
Uts_11A_39,2011,9/30/2011,9/30/2011,F852,14.3,109,F,,,,NA,NA,,3,4,0,,,
Uts_11A_40,2011,9/30/2011,9/30/2011,F853,19.75,117,M,,,,NA,NA,,NA,4,0,,,
Uts_11A_41,2011,10/2/2011,10/2/2011,F854,2,61,M,,,,NA,NA,,3,1,0,,,
Uts_11A_42,2011,10/2/2011,10/2/2011,F855,2.4,64,M,,,recaptured later,NA,1,Uts_13A_054,4,1,0,,,
Uts_11A_43,2011,10/2/2011,10/2/2011,F856,2.4,64,M,,,,NA,NA,,3,1,0,,,
Uts_11A_44,2011,10/2/2011,10/2/2011,F857,1.9,60,M,,,,NA,NA,,4,1,0,,,
Uts_11A_45,2011,10/2/2011,10/2/2011,F858,1.5,55,M,,,,NA,NA,,3,1,0,,,
Uts_11A_46,2011,10/2/2011,10/2/2011,F859,1.9,59,M,,,,NA,NA,,3,1,0,,,
Uts_11A_47,2011,10/2/2011,10/2/2011,F860,2.6,66,M,,,,NA,NA,,4,1,0,,,
Uts_11A_48,2011,10/3/2011,10/3/2011,F861,1.7,59,M,,,,NA,NA,,5,1,0,,,
Uts_11A_49,2011,10/3/2011,10/3/2011,F862,1.9,59,M,,,,NA,NA,,4,1,0,,,
Uts_11A_50,2011,10/3/2011,10/3/2011,F863,2.5,64,M,,,,NA,NA,,3,1,0,,,
Uts_11A_51,2011,10/3/2011,10/3/2011,F865,2.7,67,M,,,,NA,NA,,3,1,0,,,
Uts_11A_52,2011,10/3/2011,10/3/2011,F864,9.7,98,F,,,,NA,NA,,3,3,0,,,
Uts_11A_53,2011,10/3/2011,10/3/2011,F866,7.3,92,F,,,,NA,NA,,3,3,0,,,
Uts_11A_54,2011,10/3/2011,10/3/2011,F867,1.5,57,M,,,,NA,NA,,3,1,0,,,
Uts_12A_001,2012,9/16/2012,9/16/2012,F151,3.1,69,M,,,,NA,NA,,5,2,0,,,
Uts_12A_002,2012,9/16/2012,9/16/2012,F152,3.9,75,M,,,,NA,NA,,4,2,0,,,
Uts_12A_003,2012,9/16/2012,9/16/2012,F153,4.9,81,F,,,,NA,NA,,4,3,1,1S1,,
Uts_12A_004,2012,9/16/2012,9/16/2012,F154,7,90,F,,,,NA,NA,,5,2,0,,,
Uts_12A_005,2012,9/18/2012,9/18/2012,F155,15.5,117,M,,,,NA,NA,,NA,4,0,,,
Uts_12A_006,2012,9/18/2012,9/18/2012,F156,1.8,62,M,,,,NA,NA,,4,1,0,,,
Uts_12A_007,2012,9/19/2012,9/19/2012,F157,11.5,102,M,,,,NA,NA,,4,3,0,,,
Uts_12A_008,2012,9/19/2012,9/19/2012,F158,2.1,63,M,,,,NA,NA,,3,1,0,,,
Uts_12A_009,2012,9/19/2012,9/19/2012,F159,1.9,63,M,,,,NA,NA,,4,1,0,,,
Uts_12A_010,2012,9/19/2012,9/19/2012,F160,2,60,M,,,,NA,NA,,NA,1,0,,,
Uts_12A_011,2012,9/20/2012,9/20/2012,F161,2.5,65,M,,,,NA,NA,,5,1,0,,,
Uts_12A_012,2012,9/20/2012,9/20/2012,F162,1.9,59,M,,,,NA,NA,,4,1,0,,,
Uts_12A_013,2012,9/24/2012,9/24/2012,F163,2.9,66,M,,,,NA,NA,,5,1,0,,,
Uts_12A_014,2012,9/24/2012,9/24/2012,F164,2.6,67,M,,,,NA,NA,,4,1,0,,,
Uts_12A_015,2012,9/24/2012,9/24/2012,F165,2.9,68,M,,,,NA,NA,,4,1,0,,,
Uts_12A_016,2012,9/24/2012,9/24/2012,F166,3,71,M,,,,NA,NA,,4,1,0,,,
Uts_12A_017,2012,9/25/2012,9/25/2012,F167,17,117,M,,,,NA,NA,,3,3,0,,,
Uts_12A_018,2012,9/25/2012,9/25/2012,F168,15,111,F,,,,NA,NA,,4,5,1,3S1,,
Uts_12A_019,2012,9/25/2012,9/25/2012,F169,5.7,84,F,,,,NA,NA,,3,2,0,,,
Uts_12A_020,2012,9/25/2012,9/25/2012,F170,1.9,59,M,,,,NA,NA,,4,1,0,,,
Uts_12A_021,2012,9/25/2012,9/25/2012,F171,4,76,F,,,,NA,NA,,3,2,0,,,
Uts_12A_022,2012,9/25/2012,9/25/2012,F172,2.5,66,M,,,,NA,NA,,5,1,0,,,
Uts_12A_023,2012,9/25/2012,9/25/2012,F173,2.5,67,M,,,,NA,NA,,3,1,0,,,
Uts_12A_024,2012,9/27/2012,9/27/2012,,18.5,123,M,,dead,,1,NA,,NA,NA,NA,,,
Uts_12A_025,2012,9/27/2012,9/27/2012,F174,2.9,69,M,,,,NA,NA,,5,1,0,,,
Uts_12A_026,2012,9/27/2012,9/27/2012,F175,2.6,68,M,,,,NA,NA,,4,1,0,,,
Uts_12A_027,2012,9/27/2012,9/27/2012,F176,1.5,57,F,,,,NA,NA,,4,1,0,,,
Uts_12A_028,2012,9/28/2012,9/28/2012,F177,2.3,63,M,,,,NA,NA,,4,1,0,,,
Uts_12A_029,2012,9/28/2012,9/28/2012,F178,2.8,66,M,,,,NA,NA,,3,1,0,,,
Uts_12A_030,2012,9/28/2012,9/28/2012,F179,7.2,92,F,,,,NA,NA,,3,2,0,,,
