"","ID","sex","type","class.cor","year","birthyear.int","Scale.smoltage","scale.seaage","InterpAge","Respawner","respawner.info","firstcohort","seaageatmaturity","cohort","cohort.year.all","0+","1+","2-3+","Adult","n.offspring","cohort.total","respawner.gen","min.cohort","cohort.rank","mature","AKAP11_4_fix","c25_1441_SAC","cohort.max","cohort.max.year"
"1","Uts_11A_01","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,1,1,0,0,2,1,"semelparous",1,1,"Adult",1,2,1,2012
"2","Uts_11A_02","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,5,1,0,0,6,1,"semelparous",1,1,"Adult",2,3,1,2012
"3","Uts_11A_05","sire","Adult","Adult",2011,2007,3,1,1,0,NA,2012,1,1,2012,0,1,0,0,1,1,"semelparous",1,1,"Adult",1,2,1,2012
"4","Uts_11A_06","sire","Adult","Adult",2011,2005,4,2,2,0,NA,2012,2,1,2012,8,11,5,1,25,1,"semelparous",1,1,"Adult",2,2,1,2012
"5","Uts_11A_07","sire","Adult","Adult",2011,2004,4,3,3,0,NA,2012,3,1,2012,6,15,4,2,27,1,"semelparous",1,1,"Adult",2,3,1,2012
"6","Uts_11A_08","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,1,2,0,1,4,1,"semelparous",1,1,"Adult",1,1,1,2012
"7","Uts_11A_09","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,8,7,0,0,15,1,"semelparous",1,1,"Adult",1,2,1,2012
"8","Uts_11A_11","sire","Adult","Adult",2011,2007,3,1,1,0,NA,2012,1,1,2012,0,2,0,1,3,1,"semelparous",1,1,"Adult",1,2,1,2012
"9","Uts_11A_12","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,15,11,1,1,28,1,"semelparous",1,1,"Adult",1,2,1,2012
"10","Uts_11A_14","sire","Adult","Adult",2011,2006,3,2,2,0,NA,2012,2,1,2012,1,0,0,0,1,1,"semelparous",1,1,"Adult",2,2,1,2012
"11","Uts_11A_15","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,9,4,1,1,15,1,"semelparous",1,1,"Adult",1,1,1,2012
"12","Uts_11A_16","sire","Adult","Adult",2011,2006,3,2,2,0,NA,2012,2,1,2012,3,5,1,0,9,1,"semelparous",1,1,"Adult",2,2,1,2012
"13","Uts_11A_17","sire","Adult","Adult",2011,2005,3,3,3,1,"1S1",2010,1,1,2010,0,0,0,1,1,3,"iteroparous",1,1,"Adult",1,3,3,2019
"14","Uts_11A_17","sire","Adult","Adult",2011,2005,3,3,3,1,"1S1",2010,1,2,2012,12,13,5,1,31,3,"iteroparous",1,2,"Adult",1,3,3,2019
"15","Uts_11A_17","sire","Adult","Adult",2011,2005,3,3,3,1,"1S1",2010,1,5,2019,1,0,0,0,1,3,"iteroparous",1,3,"Adult",1,3,3,2019
"16","Uts_11A_18","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,11,6,0,0,17,1,"semelparous",1,1,"Adult",1,1,1,2012
"17","Uts_11A_19","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,1,5,0,1,7,1,"semelparous",1,1,"Adult",2,2,1,2012
"18","Uts_11A_20","sire","Adult","Adult",2011,2007,3,1,1,0,NA,2012,1,1,2012,3,7,0,0,10,1,"semelparous",1,1,"Adult",2,2,1,2012
"19","Uts_11A_23","sire","Adult","Adult",2011,2007,3,1,1,0,NA,2013,1,1,2013,1,0,0,0,1,1,"semelparous",1,1,"Adult",1,2,1,2013
"20","Uts_11A_24","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,0,1,0,0,1,1,"semelparous",1,1,"Adult",1,2,1,2012
"21","Uts_11A_25","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,1,0,0,1,2,1,"semelparous",1,1,"Adult",1,2,1,2012
"22","Uts_11A_26","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,16,14,3,0,33,1,"semelparous",1,1,"Adult",1,2,1,2012
"23","Uts_11A_34","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,1,0,0,1,2,2,"iteroparous",1,1,"Adult",1,1,2,2014
"24","Uts_11A_34","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,2,2014,66,18,1,1,86,2,"iteroparous",1,2,"Adult",1,1,2,2014
"25","Uts_11A_36","sire","Adult","Adult",2011,2004,4,3,3,0,NA,2012,3,1,2012,37,29,2,3,71,2,"iteroparous",1,1,"Adult",2,2,2,2019
"26","Uts_11A_36","sire","Adult","Adult",2011,2004,4,3,3,0,NA,2012,3,4,2019,2,0,0,0,2,2,"iteroparous",1,2,"Adult",2,2,2,2019
"27","Uts_11A_38","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2014,1,1,2014,7,0,0,0,7,1,"semelparous",1,1,"Adult",2,2,1,2014
"28","Uts_11A_40","sire","Adult","Adult",2011,2003,4,4,4,0,NA,2011,4,1,2012,32,25,3,0,60,1,"semelparous",1,1,"Adult",2,3,1,2012
"29","Uts_11A_42","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2014,1,1,2014,25,6,1,0,32,1,"semelparous",1,1,"Adult",2,2,1,2014
"30","Uts_11A_44","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,0,2,0,0,2,1,"semelparous",1,1,"Adult",2,3,1,2012
"31","Uts_11A_48","sire","Adult","Adult",2011,2005,5,1,1,0,NA,2012,1,1,2012,1,0,0,0,1,1,"semelparous",1,1,"Adult",1,1,1,2012
"32","Uts_11A_49","sire","Adult","Adult",2011,2006,4,1,1,0,NA,2012,1,1,2012,1,1,0,1,3,1,"semelparous",1,1,"Adult",1,1,1,2012
"33","Uts_11A_51","sire","Adult","Adult",2011,2007,3,1,1,0,NA,2012,1,1,2012,3,2,0,2,7,1,"semelparous",1,1,"Adult",2,2,1,2012
"34","Uts_11A_54","sire","Adult","Adult",2011,2007,3,1,1,0,NA,2012,1,1,2012,1,3,1,0,5,1,"semelparous",1,1,"Adult",2,2,1,2012
"35","Uts_12A_005","sire","Adult","Adult",2012,2004,4,4,4,0,NA,2013,4,1,2013,25,5,1,0,31,1,"semelparous",1,1,"Adult",2,2,1,2013
"36","Uts_12A_006","sire","Adult","Adult",2012,2007,4,1,1,0,NA,2013,1,1,2013,7,0,0,0,7,1,"semelparous",1,1,"Adult",1,1,1,2013
"37","Uts_12A_007","sire","Adult","Adult",2012,2005,4,3,3,0,NA,2013,3,1,2013,10,1,0,1,12,1,"semelparous",1,1,"Adult",2,3,1,2013
