"id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair"
"Uts_11A_01",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_02",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_03",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_04",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_05",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_06",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_07",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_08",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_09",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_10",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_11",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_12",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_13",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_14",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_15",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_16",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_17",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_18",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_19",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_20",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_21",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_22",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_23",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_24",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_25",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_26",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_27",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_28",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_29",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_30",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_31",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_32",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_33",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_34",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_35",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_36",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_37",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_38",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_39",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_40",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_41",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_42",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_44",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_45",NA,"Uts_11A_40",NA,2.88,NA,NA,0,NA
"Uts_11A_46",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_47",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_48",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_49",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_50",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_51",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_52",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_53",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_11A_54",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_001",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_002",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_003",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_004",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_005",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_006",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_007",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_008",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_009",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_010",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_011",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_012",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_013",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_014",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_015",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_016",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_017",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_019",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_020",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_021",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_022",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_023",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_024",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_025",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_026",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_027",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_028",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_030",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_031",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_033",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_034",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_035",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_12A_036",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_002",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_003",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_004",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_005",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_006",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_007",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_008",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_010",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_011",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_014",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_015",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_016",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_018",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_019",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_020",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_022",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_023",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_024",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_026",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_027",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_13A_028",NA,NA,NA,NA,NA,NA,NA,NA
