"","ID","year","OffspID.ext","class","class.cor","Code","new_site_code","date","sample.date","box.info","Cap.no","Cap.notes.org","Ext.notes","other.notes","ID.tube","length.cm","scale.reading","scale.age","mature.male.parr","recapture","notes.fi","notes.eng"
"1","Uts_14_1y_0174",2014,"","1y","1y",2,2,"9/8/2014","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",""
"2","",2015,"","3y","2-3y",1,1,"","9/2/2015","",NA,"","","",1,14.3," 3+ ",3,NA,NA,"",""
"3","",2015,"","3y","2-3y",1,1,"","9/2/2015","",NA,"","","",2,13.5," 3+ ",3,NA,NA,"",""
"4","",2015,"","2y","2-3y",1,1,"","9/2/2015","",NA,"","","",3,9.7," 2+ ",2,NA,NA,"",""
"5","",2015,"","3y","2-3y",1,1,"","9/2/2015","",NA,"","","",4,14.4," 3+ ",3,NA,NA,"",""
"6","",2015,"","2y","2-3y",1,1,"","9/2/2015","",NA,"","","",5,9.7," 2+ ",2,NA,NA,"",""
"7","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",1,12," 2+ ",2,NA,NA,"",""
"8","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",2,14.7," 3+ ",3,NA,NA,"",""
"9","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",3,12.1," 2+ ",2,NA,NA,"",""
"10","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",4,13," 3+ ",3,NA,NA,"",""
"11","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",5,13," 2+ ",2,NA,NA,"",""
"12","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",6,12.8," 4+ ",4,NA,NA,"",""
"13","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",7,12," 2+ ",2,NA,NA,"",""
"14","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",8,13.6," 3+ ",3,NA,NA,"",""
"15","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",9,13.1," 3+ ",3,NA,NA,"",""
"16","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",10,13.3," 3+ ",3,NA,NA,"",""
"17","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",11,13," 3+ ",3,1,NA,"",""
"18","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",12,12," 2+ ",2,NA,NA,"",""
"19","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",13,12.5," 3+ ",3,NA,NA,"",""
"20","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",14,13," 3+ ",3,NA,NA,"",""
"21","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",15,12.9," 2+ ",2,NA,NA,"",""
"22","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",16,11.8," 2+ ",2,NA,NA,"",""
"23","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",17,11.9," 3+ ",3,NA,NA,"",""
"24","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",18,13.2,"",NA,NA,NA,"reg."," regenerating scale "
"25","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",19,12.9," 2+ ",2,NA,NA,"",""
"26","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",20,13.5," 3+ ",3,NA,NA,"",""
"27","",2015,"","2y","2-3y",2,2,"","9/3/2015","",NA,"","","",21,12.4," 2+ ",2,NA,NA,"",""
"28","",2015,"","3y","2-3y",2,2,"","9/3/2015","",NA,"","","",22,11.5," 3+ ",3,1,NA,"",""
"29","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",1,12," 2+ ",2,NA,NA,"",""
"30","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",2,12.6," 2+ ",2,NA,NA,"",""
"31","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",3,13.5," 2+ ",2,NA,NA,"",""
"32","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",4,13," 2+ ",2,NA,NA,"",""
"33","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",5,11.6," 2+ ",2,NA,NA,"",""
"34","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",6,12.5," 2+ ",2,NA,NA,"",""
"35","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",7,12.8," 2+ ",2,NA,NA,"",""
"36","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",8,12.3," 2+ ",2,NA,NA,"",""
"37","",2015,"","2y","2-3y",NA,NA,"","9/4/2015","",NA,"","","",9,11.7," 2+ ",2,NA,NA,"",""
"38","",2015,"","1y","1y",12,12,"9/7/2015","9/7/2015","",NA,"","","",1,9.6," 1+ ",1,NA,NA,"",""
"39","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",1,15.1," 2+ ",2,NA,NA,"",""
"40","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",2,14," 2+ ",2,NA,NA,"",""
"41","",2015,"","3y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",3,14.1," 3+ ",3,NA,NA,"",""
"42","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",4,9.7," 2+ ",2,NA,NA,"",""
"43","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",5,12.6," 2+ ",2,NA,NA,"",""
"44","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",6,12.9," 2+ ",2,NA,NA,"",""
"45","",2015,"","3y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",7,14," 3+ ",3,NA,NA,"",""
"46","",2015,"","3y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",8,12.4," 2+ ",2,NA,NA,"",""
"47","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",9,12.2," 2+ ",2,NA,NA,"",""
"48","",2015,"","3y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",10,13," 3+ ",3,NA,NA,"",""
"49","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",11,14.2," 2+ ",2,NA,NA,"",""
"50","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",12,12.2," 2+ ",2,NA,NA,"",""
"51","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",13,13.5," 2+ ",2,NA,NA,"",""
"52","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",14,12.4," 2+ ",2,NA,NA,"",""
"53","",2015,"","2y","2-3y",14,16,"9/8/2015","9/8/2015","",NA,"","","",15,14," 2+ ",2,NA,NA,"",""
