"","ID","sex","type","class.cor","year","BirthYear","scale.seaage","Scale.smoltage","InterpAge","Respawner","respawner.info","total.age","total.age.int","birthyear.int"
"1","Uts_11A_01","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"2","Uts_11A_02","M","Adult","Adult",2011,2005,1,NA,1,0,NA,NA,5,2006
"3","Uts_11A_03","M","Adult","Adult",2011,2005,2,4,2,0,NA,6,6,2005
"4","Uts_11A_04","M","Adult","Adult",2011,2005,2,4,2,0,NA,6,6,2005
"5","Uts_11A_05","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"6","Uts_11A_06","M","Adult","Adult",2011,2005,2,4,2,0,NA,6,6,2005
"7","Uts_11A_07","M","Adult","Adult",2011,2005,3,NA,3,0,NA,NA,7,2004
"8","Uts_11A_08","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"9","Uts_11A_09","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"10","Uts_11A_10","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"11","Uts_11A_11","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"12","Uts_11A_12","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"13","Uts_11A_13","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"14","Uts_11A_14","M","Adult","Adult",2011,2005,2,3,2,0,NA,5,5,2006
"15","Uts_11A_15","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"16","Uts_11A_16","M","Adult","Adult",2011,2005,2,3,2,0,NA,5,5,2006
"17","Uts_11A_17","M","Adult","Adult",2011,2005,3,3,3,0,NA,6,6,2005
"18","Uts_11A_18","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"19","Uts_11A_19","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"20","Uts_11A_20","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"21","Uts_11A_21","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"22","Uts_11A_22","F","Adult","Adult",2011,2005,2,3,2,0,NA,5,5,2006
"23","Uts_11A_23","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"24","Uts_11A_24","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"25","Uts_11A_25","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"26","Uts_11A_26","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"27","Uts_11A_27","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"28","Uts_11A_28","F","Adult","Adult",2011,2005,3,4,3,0,NA,7,7,2004
"29","Uts_11A_29","F","Adult","Adult",2011,2005,3,3,3,0,NA,6,6,2005
"30","Uts_11A_30","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"31","Uts_11A_31","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"32","Uts_11A_32","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"33","Uts_11A_33","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"34","Uts_11A_34","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"35","Uts_11A_35","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"36","Uts_11A_36","M","Adult","Adult",2011,2005,3,NA,3,0,NA,NA,7,2004
"37","Uts_11A_37","F","Adult","Adult",2011,2005,5,3,5,1,30,8,8,2003
"38","Uts_11A_38","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"39","Uts_11A_39","F","Adult","Adult",2011,2005,4,3,4,0,NA,7,7,2004
"40","Uts_11A_40","M","Adult","Adult",2011,2005,4,NA,4,0,NA,NA,8,2003
"41","Uts_11A_41","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"42","Uts_11A_42","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"43","Uts_11A_43","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"44","Uts_11A_44","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"45","Uts_11A_45","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"46","Uts_11A_46","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"47","Uts_11A_47","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"48","Uts_11A_48","M","Adult","Adult",2011,2005,1,5,1,0,NA,6,6,2005
"49","Uts_11A_49","M","Adult","Adult",2011,2005,1,4,1,0,NA,5,5,2006
"50","Uts_11A_50","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"51","Uts_11A_51","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"52","Uts_11A_52","F","Adult","Adult",2011,2005,3,3,3,0,NA,6,6,2005
"53","Uts_11A_53","F","Adult","Adult",2011,2005,3,3,3,0,NA,6,6,2005
"54","Uts_11A_54","M","Adult","Adult",2011,2005,1,3,1,0,NA,4,4,2007
"55","Uts_12A_001","M","Adult","Adult",2012,2005,2,5,2,0,NA,7,7,2005
"56","Uts_12A_002","M","Adult","Adult",2012,2006,2,4,2,0,NA,6,6,2006
"57","Uts_12A_003","F","Adult","Adult",2012,2006,3,4,3,1,10,7,7,2005
"58","Uts_12A_004","F","Adult","Adult",2012,2005,2,5,2,0,NA,7,7,2005
"59","Uts_12A_005","M","Adult","Adult",2012,2006,4,NA,4,0,NA,NA,8,2004
"60","Uts_12A_006","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
"61","Uts_12A_007","M","Adult","Adult",2012,2005,3,4,3,0,NA,7,7,2005
"62","Uts_12A_008","M","Adult","Adult",2012,2008,1,3,1,0,NA,4,4,2008
"63","Uts_12A_009","M","Adult","Adult",2012,2007,1,4,1,0,NA,5,5,2007
