"","sex","ID","year","date","date.fix","tag.ID","wt.kg","length.cm","condition","notes.fi","notes.en","notes.KM","dead","recapture","match.ID","Scale.smoltage","scale.seaage","InterpAge","Respawner","respawner.info","notes.FI","notes.ENG"
"1","F","Uts_11A_22",2011,"9/27/2011","9/27/2011","F835",5.7,83,-0.542230929844439,NA,NA,NA,NA,NA,NA,3,2,2,0,NA,NA,NA
"2","F","Uts_11A_28",2011,"9/28/2011","9/28/2011","F841",11.9,99,1.87472789381864,NA,NA,NA,NA,NA,NA,4,3,3,0,NA,NA,NA
"3","F","Uts_11A_29",2011,"9/28/2011","9/28/2011","F842",10.3,100,0.0382878202975796,NA,NA,NA,NA,NA,NA,3,3,3,0,NA,NA,NA
"4","F","Uts_11A_37",2011,"9/29/2011","9/29/2011","F850",13.5,114,-0.0718732089972285,NA,NA,NA,NA,NA,NA,3,5,5,1,30,NA,NA
"5","F","Uts_11A_39",2011,"9/30/2011","9/30/2011","F852",14.3,109,1.91032715860806,NA,NA,NA,NA,NA,NA,3,4,4,0,NA,NA,NA
"6","F","Uts_11A_52",2011,"10/3/2011","10/3/2011","F864",9.7,98,-0.0888320326603065,NA,NA,NA,NA,NA,NA,3,3,3,0,NA,NA,NA
"7","F","Uts_11A_53",2011,"10/3/2011","10/3/2011","F866",7.3,92,-1.07019159153396,NA,NA,NA,NA,NA,NA,3,3,3,0,NA,NA,NA
"8","F","Uts_12A_003",2012,"9/16/2012","9/16/2012","F153",4.9,81,-0.869350782802327,NA,NA,NA,NA,NA,NA,4,3,3,1,10,NA,NA
"9","F","Uts_12A_004",2012,"9/16/2012","9/16/2012","F154",7,90,-0.897311444491844,NA,NA,NA,NA,NA,NA,5,2,2,0,NA,NA,NA
"10","F","Uts_12A_018",2012,"9/25/2012","9/25/2012","F168",15,111,2.13744701156595,NA,NA,NA,NA,NA,NA,4,5,5,1,30,NA,NA
"11","F","Uts_12A_019",2012,"9/25/2012","9/25/2012","F169",5.7,84,-0.778671003365498,NA,NA,NA,NA,NA,NA,3,2,2,0,NA,NA,NA
"12","F","Uts_12A_021",2012,"9/25/2012","9/25/2012","F171",4,76,-0.587150415197037,NA,NA,NA,NA,NA,NA,3,2,2,0,NA,NA,NA
"13","F","Uts_12A_027",2012,"9/27/2012","9/27/2012","F176",1.5,57,1.40521098170306,NA,NA,NA,NA,NA,NA,4,1,1,0,NA,NA,NA
"14","F","Uts_12A_030",2012,"9/28/2012","9/28/2012","F179",7.2,92,-1.17019159153396,NA,NA,NA,NA,NA,NA,3,2,2,0,NA,NA,NA
"15","F","Uts_13A_004",2013,"17.-18.9.2013","9/17/2013","F504",9.8,102,-0.934592326744536,NA,NA,NA,NA,NA,NA,3,3,3,0,NA,NA,NA
"16","F","Uts_13A_008",2013,"17.-18.9.2013","9/17/2013","F508",1.4,56,1.54165105522412,NA,NA,NA,NA,NA,NA,5,1,1,0,NA,NA,NA
"17","F","Uts_13A_012",2013,"19.-20.9.2013","9/19/2013","F512",2,58,1.668770908182,NA,"dead",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"18","F","Uts_13A_033",2013,"26.-27.9.2013","9/26/2013","F533",8.9,95,-0.179511812097131,NA,NA,NA,NA,NA,NA,3,3,3,0,NA,NA,NA
"19","F","Uts_13A_037",2013,"29.-30.9.2013","9/29/2013","F537",8.8,97,-0.752391959139249,NA,NA,NA,NA,NA,NA,4,3,3,0,NA,NA,NA
"20","F","Uts_13A_039",2013,"29.-30.9.2013","9/29/2013","F539",5.7,84,-0.778671003365498,NA,NA,NA,NA,NA,NA,4,2,2,0,NA,NA,NA
"21","F","Uts_13A_044",2013,"29.-30.9.2013","9/29/2013","F544",4.9,82,-1.10579085632338,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA
"22","F","Uts_13A_045",2013,"29.-30.9.2013","9/29/2013","F545",3.5,83,-2.74223092984444,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA
"23","F","Uts_13A_047",2013,"29.-30.9.2013","9/29/2013","F547",9.6,96,0.284048114381809,NA,NA,NA,NA,NA,NA,3,3,3,1,10,NA,NA
"24","F","Uts_13A_058",2013,"2.-3.10.2013","10/2/2013","F558",6.8,86,-0.151551150407614,NA,NA,NA,NA,NA,NA,4,2,2,0,NA,NA,NA
