year,ID,OffspID.ext,class,Code,new_site_code,date,site_description,lat,long,box.info,Cap.no,Cap.notes.org,Ext.notes,other.notes,sample.date,ID.tube,length.cm,class,scale.age,mature.male.parr,recapture,notes.fi,notes.eng,
2014,Uts_14_1y_0174,,1y,2,2,9/8/2014,Utsjoki estuary East,69.91078526,27.0496451,NA,NA,NA,NA,NA,,,,,,,,,,
2015,,,3y,1,1,,Utsjoki estuary west,,,,,,,,9/2/2015,1,14.3, 3+ ,3,,,,,
2015,,,3y,1,1,,Utsjoki estuary west,,,,,,,,9/2/2015,2,13.5, 3+ ,3,,,,,
2015,,,2y,1,1,,Utsjoki estuary west,,,,,,,,9/2/2015,3,9.7, 2+ ,2,,,,,
2015,,,3y,1,1,,Utsjoki estuary west,,,,,,,,9/2/2015,4,14.4, 3+ ,3,,,,,
2015,,,2y,1,1,,Utsjoki estuary west,,,,,,,,9/2/2015,5,9.7, 2+ ,2,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,1,12.0, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,2,14.7, 3+ ,3,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,3,12.1, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,4,13.0, 3+ ,3,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,5,13.0, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,6,12.8, 4+ ,4,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,7,12.0, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,8,13.6, 3+ ,3,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,9,13.1, 3+ ,3,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,10,13.3, 3+ ,3,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,11,13.0, 3+ ,3,1,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,12,12.0, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,13,12.5, 3+ ,3,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,14,13.0, 3+ ,3,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,15,12.9, 2+ ,2,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,16,11.8, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,17,11.9, 3+ ,3,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,18,13.2,,,,,reg., regenerating scale ,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,19,12.9, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,20,13.5, 3+ ,3,,,,,
2015,,,2y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,21,12.4, 2+ ,2,,,,,
2015,,,3y,2,2,,Utsjoki estuary east,,,,,,,,9/3/2015,22,11.5, 3+ ,3,1,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,1,12.0, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,2,12.6, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,3,13.5, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,4,13.0, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,5,11.6, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,6,12.5, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,7,12.8, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,8,12.3, 2+ ,2,,,,,
2015,,,2y,,,,,,,,,,,,9/4/2015,9,11.7, 2+ ,2,,,,,
2015,,,1y,12,12,9/7/2015,Goldeneye nest reeds,,,,,,,,9/7/2015,1,9.6, 1+ ,1,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,1,15.1, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,2,14.0, 2+ ,2,,,,,
2015,,,3y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,3,14.1, 3+ ,3,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,4,9.7, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,5,12.6, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,6,12.9, 2+ ,2,,,,,
2015,,,3y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,7,14.0, 3+ ,3,,,,,
2015,,,3y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,8,12.4, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,9,12.2, 2+ ,2,,,,,
2015,,,3y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,10,13.0, 3+ ,3,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,11,14.2, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,12,12.2, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,13,13.5, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,14,12.4, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,15,14.0, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,16,13.4, 2+ ,2,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,17,14.0, 2+ ,2,,,,,
2015,,,3y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,18,13.9, 3+ ,3,,,,,
2015,,,2y,14,16,9/8/2015,"Hotel reed, East bank",69.90472091,27.03553956,,,,,,9/8/2015,19,12.9, 2+ ,2,,,,,
